Unnamed: 0,Manufacturer,Category,Screen,GPU,OS,CPU_core,Screen_Size_cm,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_kg,Price,Screen_Size_in,Weight_lb,Price-binned,Screen_encoded
0,Acer,4,IPS Panel,2,1,5,35.56,1.6,8,256,1.6,978,13.87,3.52,Low,1
1,Dell,3,Full HD,1,1,3,39.62,2.0,4,256,2.2,634,15.45,4.84,Low,0
2,Dell,3,Full HD,1,1,7,39.62,2.7,8,256,2.2,946,15.45,4.84,Low,0
3,Dell,4,IPS Panel,2,1,5,33.78,1.6,8,128,1.22,1244,13.17,2.68,Medium,1
4,HP,4,Full HD,2,1,7,39.62,1.8,8,256,1.91,837,15.45,4.2,Low,0
5,Dell,3,Full HD,1,1,5,39.62,1.6,8,256,2.2,1016,15.45,4.84,Low,0
6,HP,3,Full HD,3,1,5,39.62,1.6,8,256,2.1,1117,15.45,4.62,Low,0
7,Acer,3,IPS Panel,2,1,5,38.1,1.6,4,256,2.2,866,14.86,4.84,Low,1
8,Dell,3,Full HD,1,1,5,39.62,2.5,4,256,2.3,812,15.45,5.06,Low,0
9,Acer,3,IPS Panel,3,1,7,38.1,1.8,8,256,2.2,1068,14.86,4.84,Low,1
10,Dell,3,Full HD,1,1,7,39.62,1.8,8,256,2.13,975,15.45,4.69,Low,0
11,HP,3,Full HD,2,1,3,39.62,2.0,4,128,1.91,558,15.45,4.2,Low,0
12,Asus,3,Full HD,2,2,3,39.62,2.0,4,256,2.0,527,15.45,4.4,Low,0
13,Dell,4,Full HD,2,1,5,35.56,1.6,8,256,1.7,1117,13.87,3.74,Low,0
14,Asus,3,Full HD,2,1,5,35.56,1.6,8,256,1.4,1195,13.87,3.08,Medium,0
15,HP,3,Full HD,2,1,5,39.62,2.5,8,256,1.86,876,15.45,4.09,Low,0
16,Dell,4,IPS Panel,1,1,7,33.02,1.8,8,256,1.4,1213,12.88,3.08,Medium,1
17,Dell,3,Full HD,1,1,7,39.62,1.8,8,256,2.2,1105,15.45,4.84,Low,0
18,Dell,4,IPS Panel,2,1,5,38.1,1.6,8,256,1.88,1392,14.86,4.14,Medium,1
19,HP,3,Full HD,2,1,5,35.56,1.6,8,256,1.63,1092,13.87,3.59,Low,0
20,HP,4,IPS Panel,3,1,7,38.1,1.8,8,256,1.83,888,14.86,4.03,Low,1
21,HP,3,Full HD,2,1,5,39.62,2.5,8,256,1.96,761,15.45,4.31,Low,0
22,Dell,4,IPS Panel,2,1,7,33.02,1.8,8,256,1.21,2095,12.88,2.66,High,1
23,Dell,1,Full HD,3,1,5,39.62,2.5,8,256,2.65,1518,15.45,5.83,Medium,0
24,Asus,4,Full HD,2,1,7,35.56,2.7,8,256,1.25,1333,13.87,2.75,Medium,0
25,Dell,3,Full HD,1,2,3,39.62,2.0,4,256,2.2,616,15.45,4.84,Low,0
26,Asus,3,Full HD,3,1,3,39.62,2.4,6,256,2.0,733,15.45,4.4,Low,0
27,HP,3,Full HD,1,1,7,39.62,2.7,8,256,1.91,913,15.45,4.2,Low,0
28,HP,4,IPS Panel,3,1,7,33.02,2.7,8,256,1.38,1421,12.88,3.04,Medium,1
29,HP,3,IPS Panel,3,1,5,35.56,2.5,6,256,1.86,837,13.87,4.09,Low,1
30,Asus,4,IPS Panel,3,1,7,35.56,2.7,8,256,1.3,1515,13.87,2.86,Medium,1
31,Lenovo,3,IPS Panel,2,1,7,35.56,2.7,8,256,1.58,1880,13.87,3.48,High,1
32,Dell,4,IPS Panel,2,1,5,33.02,1.6,8,256,1.21,2069,12.88,2.66,High,1
33,Asus,3,Full HD,3,1,7,39.62,1.8,8,256,1.7,1420,15.45,3.74,Medium,0
34,HP,3,Full HD,2,1,5,43.94,1.6,8,256,2.5,1179,17.14,5.5,Medium,0
35,Acer,4,IPS Panel,2,1,7,35.56,1.8,8,256,1.6,1123,13.87,3.52,Low,1
36,Acer,3,Full HD,3,1,3,39.62,2.7,4,256,2.2,727,15.45,4.84,Low,0
37,HP,3,Full HD,2,1,7,35.56,1.8,8,256,1.63,1255,13.87,3.59,Medium,0
38,HP,3,IPS Panel,2,1,5,33.02,2.5,4,256,1.86,888,12.88,4.09,Low,1
39,Lenovo,3,IPS Panel,1,1,5,35.56,1.6,8,256,1.75,1418,13.87,3.85,Medium,1
40,Asus,4,Full HD,2,1,7,35.56,1.8,8,256,1.25,1396,13.87,2.75,Medium,0
41,HP,4,Full HD,2,1,5,35.56,2.7,4,256,1.48,1374,13.87,3.26,Medium,0
42,HP,3,Full HD,1,1,5,39.62,1.6,6,256,1.91,786,15.45,4.2,Low,0
43,Acer,3,IPS Panel,3,1,5,43.18,1.6,4,256,3.0,1023,16.84,6.6,Low,1
44,Dell,3,Full HD,1,1,5,39.62,1.6,8,256,2.13,925,15.45,4.69,Low,0
45,Lenovo,1,IPS Panel,3,1,7,38.1,2.8,16,256,2.5,1371,14.86,5.5,Medium,1
46,Acer,3,IPS Panel,3,1,5,43.18,1.6,8,256,3.0,1085,16.84,6.6,Low,1
47,Huawei,4,IPS Panel,2,1,5,33.02,2.5,8,256,1.05,1714,12.88,2.31,High,1
48,HP,3,Full HD,3,1,5,43.94,1.6,8,256,2.5,1172,17.14,5.5,Medium,0
49,Dell,4,Full HD,2,1,5,33.78,1.6,8,256,1.86,1777,13.17,4.09,High,0
50,Acer,4,IPS Panel,2,1,5,33.02,1.2,8,256,1.12,1256,12.88,2.46,Medium,1
51,HP,3,Full HD,3,1,7,43.94,1.8,8,256,2.5,1327,17.14,5.5,Medium,0
52,Dell,4,Full HD,2,1,7,33.78,1.8,8,256,1.2,1841,13.17,2.64,High,0
53,Dell,4,IPS Panel,1,1,7,33.02,1.8,8,256,1.4,1184,12.88,3.08,Medium,1
54,HP,3,Full HD,3,1,7,35.56,1.8,8,256,1.63,1310,13.87,3.59,Medium,0
55,Dell,4,Full HD,2,1,5,35.56,1.6,8,256,1.6,1460,13.87,3.52,Medium,0
56,Dell,3,Full HD,1,2,5,39.62,1.6,8,256,2.2,860,15.45,4.84,Low,0
57,Toshiba,4,Full HD,2,1,7,33.78,2.5,8,256,1.2,1731,13.17,2.64,High,0
58,Acer,3,Full HD,3,1,7,39.62,2.7,8,256,2.2,1057,15.45,4.84,Low,0
59,Asus,3,Full HD,3,1,5,39.62,2.5,8,256,2.0,977,15.45,4.4,Low,0
60,Dell,3,Full HD,2,1,5,35.56,2.5,8,256,1.6,1091,13.87,3.52,Low,0
61,Dell,3,Full HD,1,2,7,39.62,2.7,16,256,1.86,1142,15.45,4.09,Low,0
62,Acer,1,IPS Panel,3,1,5,38.1,2.5,8,256,2.5,1075,14.86,5.5,Low,1
63,Dell,1,Full HD,3,1,5,39.62,2.5,8,256,2.56,1117,15.45,5.63,Low,0
64,Asus,1,Full HD,3,1,7,43.94,2.9,16,256,3.6,3810,17.14,7.92,High,0
65,Acer,3,IPS Panel,3,1,3,43.18,2.7,4,256,3.0,892,16.84,6.6,Low,1
66,Dell,4,Full HD,2,1,5,33.78,1.6,8,256,1.41,1206,13.17,3.1,Medium,0
67,Lenovo,3,Full HD,2,1,7,39.62,1.8,8,256,2.05,1118,15.45,4.51,Low,0
68,Dell,3,Full HD,1,2,7,39.62,1.8,8,256,1.86,934,15.45,4.09,Low,0
69,Lenovo,1,IPS Panel,3,1,5,38.1,2.5,8,256,2.5,1053,14.86,5.5,Low,1
70,Lenovo,3,Full HD,2,1,5,39.62,2.5,6,256,2.2,735,15.45,4.84,Low,0
71,Acer,3,IPS Panel,3,1,7,38.1,1.8,8,256,3.0,1208,14.86,6.6,Medium,1
72,Lenovo,3,IPS Panel,2,1,7,38.1,2.7,8,256,1.95,1394,14.86,4.29,Medium,1
73,Asus,4,Full HD,3,1,5,39.62,2.5,8,256,1.7,1241,15.45,3.74,Medium,0
74,Dell,3,Full HD,3,1,7,39.62,2.8,8,256,2.0,2323,15.45,4.4,High,0
75,Lenovo,3,Full HD,2,1,5,39.62,1.6,8,256,2.05,939,15.45,4.51,Low,0
76,Acer,3,Full HD,3,2,7,39.62,2.8,8,256,2.5,1244,15.45,5.5,Medium,0
77,Dell,5,Full HD,3,1,7,43.94,2.9,16,256,3.42,3665,17.14,7.52,High,0
78,Toshiba,3,IPS Panel,3,1,7,38.1,2.5,8,256,2.2,1325,14.86,4.84,Medium,1
79,Lenovo,3,IPS Panel,2,1,5,33.02,2.5,8,256,1.1,1269,12.88,2.42,Medium,1
80,HP,3,Full HD,2,1,5,35.56,2.5,8,256,1.95,1245,13.87,4.29,Medium,0
81,HP,3,Full HD,2,1,7,35.56,2.7,8,256,1.48,1641,13.87,3.26,High,0
82,Asus,3,Full HD,2,1,7,35.56,2.7,8,256,2.0,1390,13.87,4.4,Medium,0
83,Asus,4,Full HD,3,1,7,39.62,2.7,8,256,1.7,1334,15.45,3.74,Medium,0
84,HP,4,Full HD,2,1,7,31.75,2.7,8,256,1.26,1696,12.38,2.77,High,0
85,Toshiba,3,IPS Panel,2,1,5,38.1,2.5,8,256,2.0,1198,14.86,4.4,Medium,1
86,Asus,1,Full HD,3,1,7,39.62,2.8,8,256,2.5,1269,15.45,5.5,Medium,0
87,HP,3,Full HD,2,1,5,35.56,2.6,8,256,1.48,1611,13.87,3.26,High,0
88,HP,3,Full HD,2,1,5,39.62,2.5,8,256,1.84,1453,15.45,4.05,Medium,0
89,Dell,3,Full HD,3,1,5,39.62,1.6,8,256,2.0,1452,15.45,4.4,Medium,0
90,Dell,4,Full HD,2,1,7,33.78,1.8,8,256,1.2,2006,13.17,2.64,High,0
91,HP,3,Full HD,2,1,7,39.62,2.7,8,256,1.84,1656,15.45,4.05,High,0
92,HP,5,Full HD,3,1,7,39.62,2.8,8,256,2.6,2208,15.45,5.72,High,0
93,Dell,3,Full HD,2,1,5,35.56,2.6,8,256,1.36,1813,13.87,2.99,High,0
94,Asus,3,Full HD,2,1,5,35.56,2.5,8,256,2.0,1200,13.87,4.4,Medium,0
95,Dell,3,Full HD,1,1,7,39.62,2.7,8,256,2.33,1142,15.45,5.13,Low,0
96,HP,4,IPS Panel,2,1,7,35.56,2.7,8,256,1.36,2223,13.87,2.99,High,1
97,Lenovo,3,IPS Panel,3,1,5,35.56,2.5,8,256,1.5,1396,13.87,3.3,Medium,1
98,Lenovo,3,IPS Panel,2,1,3,33.02,2.4,4,128,1.5,697,12.88,3.3,Low,1
99,Dell,5,IPS Panel,3,1,7,38.1,2.7,8,256,2.0,2712,14.86,4.4,High,1
100,MSI,1,Full HD,3,1,7,43.94,2.8,8,256,2.7,1714,17.14,5.94,High,0
101,Dell,3,Full HD,1,2,7,39.62,2.7,8,256,2.33,989,15.45,5.13,Low,0
102,Lenovo,3,IPS Panel,1,1,7,38.1,1.8,8,256,2.1,1562,14.86,4.62,Medium,1
103,Lenovo,3,IPS Panel,2,1,5,35.56,2.5,8,256,1.9,1192,13.87,4.18,Medium,1
104,Acer,3,Full HD,3,2,7,39.62,2.8,8,256,2.5,1117,15.45,5.5,Low,0
105,Dell,3,Full HD,1,2,5,39.62,2.5,4,256,2.3,761,15.45,5.06,Low,0
106,HP,4,Full HD,2,1,7,35.56,2.5,8,256,1.43,1905,13.87,3.15,High,0
107,Lenovo,4,IPS Panel,1,1,7,35.56,1.8,8,256,1.75,1544,13.87,3.85,Medium,1
108,HP,3,Full HD,2,1,7,39.62,2.9,8,256,2.31,1813,15.45,5.08,High,0
109,Dell,4,Full HD,2,2,7,35.56,2.8,8,256,1.6,1396,13.87,3.52,Medium,0
110,Lenovo,3,IPS Panel,2,1,7,33.02,2.7,8,256,1.4,1283,12.88,3.08,Medium,1
111,Lenovo,3,IPS Panel,2,1,3,35.56,2.7,4,128,1.7,761,13.87,3.74,Low,1
112,Asus,3,Full HD,2,2,5,39.62,2.5,4,256,2.0,710,15.45,4.4,Low,0
113,Dell,3,Full HD,1,1,5,39.62,1.6,4,256,2.2,951,15.45,4.84,Low,0
114,Lenovo,4,IPS Panel,2,1,5,30.48,2.5,8,256,1.36,1815,11.89,2.99,High,1
115,Dell,3,Full HD,3,1,5,35.56,2.8,8,256,1.64,1498,13.87,3.61,Medium,0
116,MSI,1,Full HD,3,1,5,39.62,2.5,8,256,2.2,1306,15.45,4.84,Medium,0
117,Dell,5,IPS Panel,3,1,7,38.1,2.7,16,256,2.17,2509,14.86,4.77,High,1
118,Lenovo,3,Full HD,2,1,5,35.56,2.5,8,256,1.65,1709,13.87,3.63,High,0
119,Lenovo,3,Full HD,3,1,7,39.62,2.9,8,256,2.67,2655,15.45,5.87,High,0
120,Dell,4,Full HD,2,1,5,37.27,1.6,8,256,1.42,2340,14.54,3.12,High,0
121,Dell,5,Full HD,3,1,7,39.62,2.8,8,256,1.78,3059,15.45,3.92,High,0
122,Toshiba,3,IPS Panel,2,1,5,33.02,2.5,8,256,1.05,2124,12.88,2.31,High,1
123,HP,3,IPS Panel,2,1,5,33.02,1.6,4,128,1.49,922,12.88,3.28,Low,1
124,Lenovo,3,IPS Panel,2,1,5,35.56,1.6,8,256,1.75,1333,13.87,3.85,Medium,1
125,Lenovo,3,IPS Panel,3,1,5,38.1,2.5,8,256,2.3,1286,14.86,5.06,Medium,1
126,Lenovo,3,Full HD,2,1,7,39.62,1.8,8,256,2.17,1142,15.45,4.77,Low,0
127,Lenovo,3,IPS Panel,2,1,3,33.02,2.4,8,256,1.4,1206,12.88,3.08,Medium,1
128,Lenovo,3,IPS Panel,2,1,5,38.1,2.5,8,256,2.3,1157,14.86,5.06,Medium,1
